Wide(Inches),Weight(Pounds),Ram Size(GB),Ram Type,HDD,Processor,Battery(mAh),Camera(MP),Display,Label
11.2,1.13,4,DDR3,32GB,1.5,4790,6,OLED,5
5.4,0.146,8,DDR4,16GB,2.5,1629,2,LTPS-SCREEN,6
15.6,7.16,2,DR2,512GB,1.79,5844,3.1,IPS,1
14.3,4.42,16,DDR3,1TB,2.9,2699,1.2,AMOLED,2
15.7,2.85,4,DR2,1TB,2.35,2687,2.1,AMOLED,3
13.8,3.37,4,DR2,128GB,3.9,3766,2.1,IPS,4
10.8,0.91,8,DR2,64GB,2.36,2651,10,LTPS-SCREEN,5
3.6,0.185,4,DR2,128GB,2.5,3840,32,IPS-LCD,6
13.7,6.44,16,DDR4,256GB,3.31,2674,1.9,IPS-LCD,1
15.3,4.49,2,DDR3,512GB,2.32,3527,1.3,OLED,2
15.7,2.51,16,DDR3,128GB,2.62,3709,4,OLED,3
15.4,3.47,16,DR2,1TB,4.29,4666,4,IPS,4
9.8,1.37,2,DR2,64GB,1.5,4851,4,IPS-LCD,5
5.3,0.156,2,DR2,128GB,1.5,2130,108,IPS-LCD,6
13.7,6.84,8,DDR4,512GB,2.13,5776,4,AMOLED,1
15.1,5.25,16,DDR4,512GB,2.35,3638,4,IPS,2
15.8,2.38,2,DDR3,1TB,3.14,5787,1.2,IPS-LCD,3
14.0,3.63,16,DDR3,1TB,4.39,3769,3.1,LTPS-SCREEN,4
10.0,1.61,8,DR2,32GB,1.3,3708,8,IPS-LCD,5
4.4,0.153,8,DDR4,16GB,2.96,2108,16,OLED,6
13.3,4.35,8,DR2,128GB,3.49,5416,1.2,LED,1
14.2,4.65,4,DR2,512GB,2.63,3614,3.1,IPS,2
15.8,2.47,2,DDR4,1TB,2.51,2482,2.1,IPS-LCD,3
14.1,3.56,4,DR2,1TB,4.47,4210,1.9,LTPS-SCREEN,4
11.1,1.69,16,DDR4,16GB,2.36,4869,3,AMOLED,5
5.0,0.174,2,DDR3,64GB,2.36,2332,10,LTPS-SCREEN,6
14.0,5.07,2,DDR4,512GB,3.22,5338,1.2,AMOLED,1
15.5,4.74,16,DR2,512GB,2.32,3956,1.2,OLED,2
15.7,2.61,4,DR2,128GB,3.21,5344,4,IPS-LCD,3
14.8,3.26,8,DDR3,512GB,4.5,4835,4,AMOLED,4
10.7,1.02,2,DDR4,64GB,1.8,3284,4,LED,5
5.0,0.143,8,DDR3,32GB,2.5,646,13,IPS,6
13.5,5.07,16,DDR4,512GB,1.61,5922,1.2,OLED,1
15.2,4.34,4,DDR4,512GB,2.55,3388,3.1,OLED,2
16.0,2.67,4,DR2,1TB,3.09,3608,2.1,AMOLED,3
14.8,3.09,2,DDR4,1TB,4.04,4586,1.2,AMOLED,4
11.3,0.99,16,DDR4,64GB,1.3,4114,6,IPS-LCD,5
3.3,0.151,4,DDR4,128GB,2.36,3621,8,AMOLED,6
15.2,5.54,16,DDR4,1TB,2.24,5120,3.1,LTPS-SCREEN,1
15.3,4.48,16,DDR3,1TB,2.47,2664,1.3,AMOLED,2
15.6,2.88,16,DDR4,512GB,2.96,4331,1.3,LTPS-SCREEN,3
14.9,2.91,2,DDR3,128GB,4.36,3733,4,OLED,4
11.2,1.09,8,DR2,32GB,1.3,4730,3,IPS-LCD,5
4.4,0.179,16,DDR4,64GB,1.8,1611,48,OLED,6
13.0,3.86,8,DDR4,512GB,3.08,4873,1.9,LTPS-SCREEN,1
14.6,5.5,4,DDR3,1TB,2.38,3899,4,LTPS-SCREEN,2
15.8,2.86,4,DDR4,1TB,3.06,3807,1.3,OLED,3
14.2,3.12,8,DDR4,128GB,4.11,3780,3.1,LED,4
10.0,1.3,8,DDR3,32GB,1.5,4327,6,IPS,5
4.3,0.168,16,DDR4,64GB,2.96,1862,1.3,LED,6
13.0,3.82,8,DDR4,128GB,1.96,2026,1.9,LED,1
15.4,4.43,16,DR2,256GB,2.41,3358,1.2,LED,2
15.9,2.69,2,DR2,128GB,3.46,3951,1.3,IPS-LCD,3
14.0,3.2,4,DR2,128GB,3.82,4431,4,IPS,4
11.6,0.87,8,DDR3,32GB,1.5,3090,3,LED,5
5.5,0.179,2,DDR4,128GB,2.5,754,12,OLED,6
15.5,4.01,16,DR2,128GB,2.66,2123,1.2,IPS,1
14.1,5.64,2,DDR3,256GB,2.68,3501,4,LTPS-SCREEN,2
15.7,2.91,16,DR2,128GB,2.63,5791,1.3,IPS,3
15.4,2.93,8,DR2,256GB,3.76,4345,1.9,IPS,4
11.0,0.71,16,DDR3,16GB,1.8,4234,8,LTPS-SCREEN,5
4.3,0.166,16,DDR3,64GB,1.5,3881,16,OLED,6
13.9,5.59,4,DR2,256GB,2.01,4927,2.1,LED,1
15.4,4.47,16,DR2,256GB,2.34,3423,3.1,OLED,2
16.0,2.57,2,DDR3,512GB,3.18,5675,1.9,IPS-LCD,3
15.2,3.3,4,DDR3,1TB,4.08,4659,3.1,IPS,4
10.7,1.3,2,DDR4,32GB,1.5,3869,10,IPS,5
3.5,0.173,2,DDR3,32GB,1.5,2245,48,IPS-LCD,6
13.0,4.11,16,DDR3,512GB,3.48,5318,1.2,LTPS-SCREEN,1
14.2,4.97,8,DR2,128GB,2.57,3069,3.1,LTPS-SCREEN,2
15.9,2.96,4,DDR4,256GB,3.26,4544,1.9,OLED,3
14.4,3.18,4,DR2,512GB,3.99,4760,1.9,LED,4
10.1,1.62,16,DR2,64GB,2.36,4064,12,AMOLED,5
4.6,0.178,2,DR2,16GB,2.36,1921,4,OLED,6
14.6,7.91,2,DDR4,512GB,2.2,4800,1.2,IPS-LCD,1
14.3,4.35,2,DDR4,512GB,2.4,3915,2.1,IPS-LCD,2
15.9,3.0,4,DDR3,256GB,3.2,5051,1.2,OLED,3
14.1,3.63,4,DR2,256GB,3.88,3982,3.1,AMOLED,4
10.7,1.21,4,DDR4,16GB,2.36,4460,12,IPS,5
4.6,0.139,8,DDR3,16GB,2.5,1590,6,OLED,6
13.4,3.19,2,DR2,128GB,2.54,2459,2.1,OLED,1
14.3,5.09,2,DR2,1TB,2.99,3172,4,LTPS-SCREEN,2
16.0,2.63,2,DDR4,512GB,3.08,2177,1.2,IPS,3
15.1,3.02,8,DR2,256GB,3.93,4708,1.2,LTPS-SCREEN,4
11.4,1.69,16,DDR3,64GB,1.5,4313,3,AMOLED,5
4.5,0.156,8,DR2,128GB,2.96,1419,48,OLED,6
15.7,6.1,16,DR2,128GB,2.95,4995,4,IPS,1
14.2,5.36,16,DDR3,128GB,2.63,3442,4,LED,2
15.8,2.82,16,DR2,256GB,3.24,4736,1.9,LTPS-SCREEN,3
15.4,2.93,16,DDR4,128GB,4.2,4011,4,LTPS-SCREEN,4
11.4,1.6,2,DDR4,32GB,1.8,4703,8,AMOLED,5
5.0,0.186,4,DDR3,16GB,1.3,1295,1.3,LED,6
14.7,5.13,16,DR2,256GB,2.22,5659,2.1,AMOLED,1
15.4,4.13,4,DR2,256GB,2.86,3698,3.1,IPS,2
15.7,2.75,2,DR2,128GB,2.64,2950,2.1,IPS-LCD,3
15.0,2.99,8,DDR4,128GB,4.43,3789,1.9,LED,4
10.2,1.46,2,DDR3,32GB,1.3,3477,8,IPS,5
4.5,0.186,4,DR2,64GB,1.5,1255,4,LED,6
13.6,3.69,2,DR2,512GB,3.35,2981,4,LTPS-SCREEN,1
14.1,4.31,16,DDR4,128GB,2.58,2567,2.1,IPS-LCD,2
15.7,2.7,8,DDR4,128GB,2.71,3782,1.3,LED,3
13.6,3.26,2,DDR4,128GB,4.11,4209,1.3,AMOLED,4
9.7,0.96,8,DDR4,32GB,1.8,3514,2,LED,5
5.3,0.186,8,DDR3,16GB,1.5,1925,1.3,AMOLED,6
13.0,3.36,16,DDR4,1TB,2.4,5891,1.9,AMOLED,1
14.2,4.03,2,DDR4,512GB,2.66,2791,3.1,LTPS-SCREEN,2
15.7,2.31,4,DR2,128GB,2.42,2702,2.1,LTPS-SCREEN,3
14.6,3.64,2,DDR3,256GB,4.47,3889,2.1,LTPS-SCREEN,4
10.1,1.27,4,DDR4,64GB,1.8,3030,10,AMOLED,5
3.2,0.176,16,DDR4,32GB,1.8,2998,48,OLED,6
13.8,3.94,16,DDR3,256GB,2.45,3691,2.1,IPS,1
15.2,4.0,2,DDR3,256GB,2.95,3970,2.1,AMOLED,2
15.8,2.66,16,DDR3,1TB,3.03,5930,1.9,IPS-LCD,3
15.3,3.44,16,DR2,1TB,3.83,4664,1.9,IPS-LCD,4
11.7,1.29,16,DDR4,64GB,1.5,3903,12,LTPS-SCREEN,5
5.1,0.139,16,DDR4,32GB,1.3,706,10,LTPS-SCREEN,6
13.7,4.95,2,DDR3,256GB,2.62,5065,1.2,IPS,1
14.3,5.3,16,DDR3,512GB,2.67,3795,1.9,IPS,2
15.8,2.39,16,DDR3,256GB,3.39,3127,4,LTPS-SCREEN,3
13.6,3.44,8,DR2,512GB,3.85,4005,3.1,AMOLED,4
11.3,1.61,16,DR2,16GB,1.8,3616,1.3,LED,5
3.8,0.187,4,DDR3,32GB,1.3,3082,4,IPS,6
14.8,4.55,16,DR2,512GB,3.24,4249,1.2,IPS-LCD,1
14.3,4.28,8,DR2,128GB,2.46,3362,2.1,IPS,2
15.6,2.72,16,DR2,1TB,2.94,5663,1.9,OLED,3
14.7,3.75,4,DR2,256GB,3.75,4207,1.2,LED,4
11.8,1.15,16,DR2,64GB,1.8,3956,12,AMOLED,5
5.5,0.16,4,DR2,32GB,2.5,3256,6,IPS,6
14.7,6.24,8,DR2,512GB,2.14,5950,3.1,AMOLED,1
14.4,4.14,4,DDR3,256GB,2.35,2873,2.1,OLED,2
15.9,2.3,16,DR2,1TB,2.82,4731,1.2,OLED,3
14.1,3.07,4,DDR4,256GB,4.33,4207,1.3,IPS-LCD,4
11.2,0.76,4,DR2,64GB,2.36,3125,4,IPS,5
3.9,0.147,16,DDR3,32GB,1.3,810,6,AMOLED,6
13.8,6.97,2,DDR4,1TB,1.93,4211,2.1,LTPS-SCREEN,1
14.3,4.47,2,DR2,1TB,2.55,2638,1.2,LED,2
15.8,2.57,4,DDR4,256GB,2.35,4832,4,IPS,3
14.1,3.44,8,DDR3,256GB,4.05,4649,2.1,LTPS-SCREEN,4
10.5,1.43,2,DDR3,16GB,1.3,3672,3,LTPS-SCREEN,5
3.2,0.156,16,DDR3,32GB,1.3,3545,2,LTPS-SCREEN,6
15.9,3.71,16,DDR4,128GB,2.74,5640,1.3,LED,1
14.9,5.69,2,DR2,1TB,2.91,2849,4,OLED,2
15.7,2.4,16,DR2,128GB,3.25,5739,3.1,LED,3
15.2,3.6,2,DDR3,256GB,4.32,4311,4,AMOLED,4
10.8,1.58,8,DDR3,16GB,1.8,4548,1.3,LED,5
5.3,0.147,16,DDR4,16GB,2.5,3787,16,AMOLED,6
13.7,2.29,16,DDR3,1TB,3.39,4572,1.2,IPS,1
14.1,5.92,16,DR2,128GB,2.41,2544,3.1,OLED,2
15.8,2.69,16,DDR3,1TB,2.85,5323,1.9,AMOLED,3
14.5,3.53,16,DR2,256GB,4.43,3933,4,IPS-LCD,4
11.5,0.75,8,DR2,32GB,1.5,4765,8,OLED,5
3.3,0.142,16,DR2,64GB,2.36,2535,16,AMOLED,6
14.6,2.41,4,DR2,128GB,3.45,4863,1.2,IPS,1
14.8,4.67,2,DR2,512GB,2.36,2928,1.2,IPS-LCD,2
15.7,2.73,2,DDR3,512GB,2.59,2640,1.9,LTPS-SCREEN,3
15.5,3.69,16,DDR3,256GB,4.16,4602,1.9,LED,4
10.0,1.76,16,DR2,64GB,1.3,3989,2,AMOLED,5
4.2,0.165,16,DR2,128GB,1.8,3869,108,IPS-LCD,6
13.7,3.06,16,DDR3,512GB,3.34,2911,3.1,IPS-LCD,1
15.5,4.42,2,DDR4,512GB,2.88,3886,2.1,IPS-LCD,2
16.0,2.51,4,DDR3,1TB,2.34,2990,1.9,LTPS-SCREEN,3
15.4,3.57,16,DR2,256GB,3.71,3833,1.3,OLED,4
11.4,1.77,16,DDR3,32GB,1.5,3786,8,IPS-LCD,5
4.7,0.171,16,DDR4,64GB,1.3,2167,1.3,OLED,6
14.4,4.58,8,DR2,128GB,2.24,2223,4,LTPS-SCREEN,1
15.1,5.59,16,DR2,512GB,2.5,3657,1.9,LED,2
15.9,2.65,16,DR2,1TB,2.35,5799,1.2,OLED,3
14.5,3.32,4,DDR4,1TB,3.94,4165,1.2,LTPS-SCREEN,4
9.9,1.3,4,DDR4,64GB,1.5,3581,10,LED,5
4.3,0.177,4,DR2,64GB,1.3,1669,1.3,IPS-LCD,6
14.3,3.41,8,DDR3,256GB,2.22,5833,2.1,LTPS-SCREEN,1
15.6,5.3,16,DDR3,256GB,2.36,3159,4,IPS-LCD,2
15.7,2.44,8,DR2,128GB,2.59,2153,2.1,LED,3
14.6,2.9,16,DR2,128GB,4.34,4211,1.2,LED,4
10.5,1.2,4,DDR4,64GB,2.36,4498,10,IPS-LCD,5
4.7,0.186,8,DDR3,32GB,1.3,3530,13,OLED,6
15.5,5.03,4,DDR3,128GB,3.08,2589,2.1,AMOLED,1
15.2,4.72,2,DR2,512GB,2.86,3298,2.1,LTPS-SCREEN,2
16.0,2.58,2,DDR4,256GB,2.83,2227,1.3,LTPS-SCREEN,3
14.3,3.3,16,DDR3,128GB,3.91,3873,1.2,IPS,4
10.0,1.54,4,DDR4,32GB,2.36,3660,12,IPS,5
3.1,0.156,16,DDR3,16GB,1.5,3371,6,IPS,6
15.9,2.52,16,DDR4,1TB,2.57,3437,4,LTPS-SCREEN,1
14.2,4.14,8,DDR3,128GB,2.37,3600,2.1,IPS,2
15.7,2.69,16,DDR3,1TB,3.28,4455,4,LED,3
13.7,3.75,16,DR2,128GB,4.02,4436,3.1,LTPS-SCREEN,4
9.8,1.14,16,DDR3,32GB,2.36,4686,12,IPS-LCD,5
4.0,0.176,8,DDR3,128GB,1.8,789,48,OLED,6
13.2,4.22,2,DDR3,1TB,1.69,5604,2.1,IPS,1
15.5,5.72,16,DR2,1TB,2.59,3764,1.9,IPS-LCD,2
15.9,2.72,2,DDR3,256GB,2.43,2653,2.1,AMOLED,3
14.5,3.62,8,DDR3,1TB,4.24,3885,1.9,LTPS-SCREEN,4
11.4,1.3,16,DR2,16GB,1.8,3246,6,LED,5
4.5,0.166,2,DDR3,32GB,2.96,770,8,LTPS-SCREEN,6
14.6,6.67,4,DDR4,512GB,2.78,4054,4,AMOLED,1
14.4,4.91,16,DDR3,1TB,2.96,3049,3.1,IPS,2
15.9,2.96,8,DR2,256GB,2.78,5837,4,OLED,3
14.4,3.5,8,DDR4,1TB,3.78,3660,1.2,IPS-LCD,4
9.9,1.4,4,DDR4,32GB,1.8,4012,8,LED,5
4.0,0.148,8,DDR3,16GB,1.3,1528,2,OLED,6
15.2,5.81,4,DR2,128GB,2.61,3722,3.1,LED,1
15.5,5.62,4,DDR3,128GB,2.59,3400,4,LTPS-SCREEN,2
15.7,2.31,4,DDR4,256GB,2.65,2847,1.9,OLED,3
15.0,3.27,4,DR2,256GB,3.96,4101,4,AMOLED,4
10.4,1.09,4,DDR4,64GB,1.5,4011,13,AMOLED,5
5.5,0.184,2,DDR4,128GB,2.36,1121,1.3,AMOLED,6
15.2,6.93,4,DDR3,128GB,2.85,2215,4,IPS-LCD,1
15.2,5.97,8,DDR3,512GB,2.54,3601,1.9,IPS,2
15.7,2.77,2,DDR3,128GB,2.87,4762,3.1,LTPS-SCREEN,3
14.3,3.8,4,DR2,128GB,3.87,4351,3.1,OLED,4
10.9,1.67,16,DR2,16GB,1.8,4963,12,LED,5
3.3,0.146,16,DR2,16GB,2.96,1427,6,LTPS-SCREEN,6
13.6,4.98,4,DDR3,1TB,3.03,4916,1.9,LTPS-SCREEN,1
14.5,4.88,2,DR2,1TB,2.32,3347,3.1,AMOLED,2
15.7,2.59,4,DDR3,1TB,3.05,3480,1.3,LTPS-SCREEN,3
15.3,3.67,8,DR2,512GB,3.84,4924,3.1,LED,4
10.5,1.52,2,DDR3,16GB,1.5,3161,4,LTPS-SCREEN,5
5.5,0.175,16,DDR4,64GB,2.96,1071,6,OLED,6
15.4,3.66,4,DR2,128GB,2.21,2882,2.1,IPS,1
15.2,4.87,2,DR2,256GB,2.83,3018,1.2,OLED,2
15.7,2.86,4,DDR4,256GB,3.3,5940,1.9,AMOLED,3
14.5,3.46,8,DDR3,512GB,4.22,4794,1.2,LTPS-SCREEN,4
11.7,1.24,2,DR2,16GB,2.36,3433,4,IPS,5
5.1,0.16,8,DDR3,32GB,2.96,931,1.3,OLED,6
15.2,7.73,4,DR2,256GB,2.0,5256,1.9,LTPS-SCREEN,1
15.0,4.44,16,DR2,128GB,2.82,3989,1.9,LED,2
15.8,2.85,2,DR2,256GB,3.16,4818,1.2,AMOLED,3
15.1,3.09,8,DDR4,256GB,3.78,4072,1.9,AMOLED,4
11.0,1.79,16,DDR4,16GB,1.3,2641,1.3,IPS-LCD,5
4.3,0.139,8,DDR4,64GB,2.36,1197,10,IPS-LCD,6
15.1,6.25,8,DDR4,256GB,2.06,2873,1.3,IPS,1
15.3,5.89,16,DR2,128GB,2.94,3972,1.2,OLED,2
15.9,2.83,2,DDR4,256GB,3.4,2831,3.1,OLED,3
14.4,3.09,2,DR2,128GB,4.11,3755,1.3,OLED,4
10.8,1.65,4,DDR4,32GB,2.36,4662,3,IPS-LCD,5
4.2,0.149,2,DR2,128GB,1.5,649,13,IPS,6
14.8,3.96,4,DDR3,256GB,2.25,3843,1.9,OLED,1
14.9,4.48,4,DDR4,1TB,2.74,3449,1.9,AMOLED,2
15.6,2.48,8,DDR4,512GB,3.39,3395,1.9,OLED,3
14.2,3.36,16,DR2,256GB,4.29,4969,4,LTPS-SCREEN,4
11.4,1.55,16,DDR3,16GB,1.5,3904,3,OLED,5
5.0,0.146,8,DDR4,64GB,2.96,2315,4,IPS,6
15.6,4.82,16,DDR3,1TB,2.87,4847,1.9,IPS,1
14.9,5.06,2,DDR4,512GB,2.58,2707,1.3,LTPS-SCREEN,2
15.9,2.6,8,DR2,512GB,2.54,5693,1.9,IPS-LCD,3
13.9,3.6,16,DDR3,1TB,4.3,3654,2.1,IPS,4
10.6,1.59,16,DDR3,16GB,1.3,3721,12,LTPS-SCREEN,5
3.8,0.168,4,DDR4,64GB,2.36,1680,10,LTPS-SCREEN,6
13.2,4.16,8,DDR3,1TB,2.92,3846,2.1,LED,1
14.7,5.53,8,DDR4,256GB,2.84,2966,1.2,IPS-LCD,2
15.6,2.8,16,DR2,256GB,2.64,2275,3.1,AMOLED,3
15.5,3.5,16,DR2,512GB,3.94,4337,1.9,LTPS-SCREEN,4
10.1,0.72,8,DDR3,64GB,1.8,3958,4,LTPS-SCREEN,5
4.9,0.176,4,DDR4,32GB,1.8,1415,3,LTPS-SCREEN,6
13.9,4.64,8,DR2,128GB,3.32,4245,2.1,LED,1
15.3,5.69,16,DDR4,128GB,2.45,2601,1.2,AMOLED,2
15.9,2.31,8,DR2,512GB,2.85,5565,1.3,AMOLED,3
15.2,2.99,4,DDR4,256GB,4.04,4378,1.3,IPS,4
9.7,1.09,8,DDR3,64GB,1.8,2888,6,IPS,5
5.5,0.178,16,DR2,32GB,1.3,3423,2,IPS-LCD,6
15.7,5.89,2,DR2,256GB,1.61,5805,3.1,LED,1
14.4,5.85,4,DR2,1TB,2.56,2910,1.9,LED,2
15.8,2.78,2,DDR3,1TB,2.89,3394,1.9,LTPS-SCREEN,3
14.8,3.6,16,DDR3,256GB,3.9,4033,2.1,LTPS-SCREEN,4
10.6,1.63,8,DR2,16GB,1.5,3554,8,IPS,5
3.9,0.185,8,DDR4,128GB,1.8,1709,48,IPS,6
14.4,5.12,8,DDR4,128GB,2.08,2901,1.3,IPS-LCD,1
14.3,4.25,8,DDR4,128GB,2.81,3080,1.3,LTPS-SCREEN,2
15.6,2.83,16,DR2,256GB,3.3,3622,3.1,AMOLED,3
14.6,3.24,4,DDR3,512GB,4.44,3951,1.2,IPS-LCD,4
10.1,1.21,8,DDR4,16GB,2.36,4842,8,AMOLED,5
3.5,0.167,4,DDR3,16GB,2.5,3651,16,LED,6
14.0,6.59,4,DDR4,512GB,3.02,2859,4,IPS,1
14.1,4.15,2,DDR3,512GB,2.88,3268,2.1,LTPS-SCREEN,2
15.9,2.74,8,DDR3,256GB,2.97,5898,1.3,AMOLED,3
14.1,3.08,16,DDR4,256GB,4.0,4979,1.2,IPS-LCD,4
11.8,1.06,2,DDR4,64GB,2.36,3479,12,LED,5
3.2,0.186,16,DDR4,32GB,1.8,3654,48,IPS,6
13.3,6.03,8,DDR4,512GB,3.38,3524,1.2,IPS-LCD,1
14.2,4.1,4,DDR4,1TB,2.89,3807,1.3,IPS-LCD,2
15.6,2.72,8,DDR3,128GB,3.16,5387,1.2,LTPS-SCREEN,3
14.5,3.78,16,DR2,512GB,4.18,4211,1.9,AMOLED,4
11.8,1.1,16,DDR3,32GB,2.36,4961,3,LTPS-SCREEN,5
4.1,0.159,16,DR2,16GB,1.3,1063,12,IPS,6
15.0,2.05,8,DDR4,1TB,1.69,5705,4,LTPS-SCREEN,1
15.3,4.43,4,DDR4,128GB,2.38,3625,1.9,IPS-LCD,2
15.6,2.99,2,DDR4,512GB,2.4,4354,4,LED,3
13.9,2.93,4,DDR3,512GB,3.95,4317,4,AMOLED,4
11.7,0.92,2,DR2,16GB,1.8,3942,3,AMOLED,5
3.7,0.143,2,DDR3,32GB,1.8,912,4,LTPS-SCREEN,6
14.3,6.54,2,DR2,1TB,2.25,4809,1.2,LED,1
14.3,4.82,16,DR2,128GB,2.75,2755,1.3,OLED,2
15.6,2.89,4,DDR3,1TB,3.24,3855,1.3,LTPS-SCREEN,3
14.6,3.22,2,DDR3,512GB,4.05,4843,1.3,IPS-LCD,4
11.0,1.6,16,DDR3,32GB,1.5,3379,4,LED,5
3.2,0.155,8,DR2,128GB,1.8,2088,6,LTPS-SCREEN,6
14.0,5.92,16,DDR4,1TB,3.21,2189,4,IPS-LCD,1
14.8,5.75,4,DDR3,128GB,2.89,3097,3.1,LTPS-SCREEN,2
15.9,2.5,4,DDR3,256GB,2.83,2256,1.3,IPS,3
14.0,3.13,8,DDR4,1TB,3.98,3841,4,AMOLED,4
10.0,0.93,4,DDR3,64GB,2.36,3560,6,IPS-LCD,5
3.4,0.187,4,DDR4,128GB,1.8,2317,10,LED,6
15.9,7.18,8,DDR4,512GB,2.16,3373,1.3,LED,1
14.5,4.36,8,DR2,128GB,2.33,3193,3.1,OLED,2
15.8,2.85,4,DDR3,512GB,2.74,2758,1.3,IPS-LCD,3
13.8,3.32,8,DR2,256GB,3.88,4231,4,LTPS-SCREEN,4
11.1,0.92,4,DR2,32GB,1.8,3463,12,IPS,5
3.9,0.15,2,DR2,64GB,2.5,665,108,OLED,6
15.4,3.55,8,DDR3,256GB,2.4,3668,1.9,LED,1
14.2,4.99,2,DR2,512GB,2.89,2884,2.1,IPS,2
16.0,2.4,2,DR2,1TB,2.85,4583,4,IPS,3
15.2,3.23,4,DR2,128GB,4.19,3892,3.1,IPS-LCD,4
11.2,0.96,8,DR2,32GB,1.3,4513,4,OLED,5
4.2,0.139,4,DDR3,128GB,2.96,2184,10,OLED,6
13.3,5.28,16,DDR3,128GB,2.46,3375,3.1,IPS-LCD,1
14.5,4.38,16,DDR4,512GB,2.92,3468,1.9,LED,2
15.8,2.58,16,DDR3,1TB,2.39,3071,3.1,IPS,3
14.4,3.62,16,DDR4,1TB,4.38,4757,2.1,IPS-LCD,4
9.7,1.33,16,DDR4,16GB,1.5,4802,1.3,LED,5
4.7,0.184,4,DDR3,64GB,2.5,2376,10,IPS-LCD,6
15.9,5.09,8,DDR3,512GB,2.5,5608,1.9,LTPS-SCREEN,1
14.9,4.7,2,DDR3,256GB,2.56,3658,4,OLED,2
15.7,2.91,16,DDR4,512GB,2.94,2868,4,LTPS-SCREEN,3
14.3,3.64,8,DDR4,1TB,4.34,4089,4,IPS,4
9.9,0.84,16,DR2,64GB,1.5,2526,8,LED,5
5.0,0.144,16,DR2,128GB,2.5,1435,3,IPS-LCD,6
13.2,4.36,2,DR2,128GB,2.65,4573,1.3,IPS,1
14.5,4.36,2,DR2,512GB,2.46,2739,1.9,IPS-LCD,2
15.6,2.72,16,DDR3,1TB,2.78,2187,4,LTPS-SCREEN,3
13.9,2.99,8,DR2,1TB,3.98,4216,3.1,OLED,4
11.7,0.74,8,DR2,16GB,1.3,3073,6,IPS-LCD,5
4.2,0.131,8,DDR4,32GB,2.36,2526,10,OLED,6
14.9,2.55,4,DDR3,256GB,2.82,3802,4,IPS,1
14.3,5.33,16,DR2,512GB,2.47,3845,3.1,LTPS-SCREEN,2
16.0,2.44,16,DDR4,512GB,3.06,5689,1.2,IPS,3
14.1,3.48,8,DDR4,512GB,4.32,3621,1.2,IPS,4
9.8,1.04,4,DDR3,64GB,1.3,4186,3,IPS-LCD,5
3.2,0.139,2,DDR4,16GB,2.96,1800,16,AMOLED,6
15.7,2.74,4,DR2,256GB,1.61,4888,4,LED,1
14.7,4.06,8,DR2,512GB,2.6,3648,1.3,AMOLED,2
15.7,2.5,2,DDR3,256GB,3.43,4263,2.1,LTPS-SCREEN,3
14.3,3.76,4,DDR4,1TB,3.87,4799,1.3,AMOLED,4
11.2,1.36,8,DDR4,64GB,2.36,2732,10,LTPS-SCREEN,5
4.1,0.153,8,DDR4,128GB,2.96,3848,108,LED,6
14.0,6.47,8,DR2,512GB,1.8,2481,2.1,IPS,1
14.7,4.41,16,DDR4,1TB,2.61,3859,2.1,IPS-LCD,2
15.6,2.59,4,DR2,128GB,2.31,2052,4,IPS,3
13.8,3.45,4,DDR3,1TB,3.75,4382,1.3,OLED,4
11.3,1.65,2,DDR3,32GB,1.3,2919,8,IPS,5
3.4,0.146,2,DDR3,128GB,2.5,2971,16,IPS-LCD,6
13.5,7.98,8,DR2,128GB,2.4,2810,3.1,AMOLED,1
14.7,5.14,4,DDR3,128GB,2.52,3176,4,LTPS-SCREEN,2
15.9,2.54,8,DDR3,256GB,3.02,2973,2.1,OLED,3
14.5,3.18,4,DR2,512GB,4.35,4588,1.2,LTPS-SCREEN,4
10.2,1.21,2,DDR3,64GB,1.8,3531,8,AMOLED,5
4.8,0.173,4,DR2,128GB,2.36,3591,13,IPS-LCD,6
14.3,5.61,16,DDR4,1TB,2.75,4758,2.1,IPS-LCD,1
14.3,5.7,16,DDR3,128GB,2.53,2588,1.3,LED,2
15.6,2.84,2,DR2,256GB,3.28,5611,1.2,OLED,3
14.0,3.48,2,DDR3,256GB,4.23,4325,1.9,OLED,4
11.2,1.51,2,DR2,32GB,2.36,3640,1.3,LTPS-SCREEN,5
4.4,0.142,16,DDR3,32GB,2.5,3499,1.3,LTPS-SCREEN,6
15.4,4.61,4,DDR4,128GB,2.71,2459,3.1,LTPS-SCREEN,1
14.6,4.32,4,DDR3,256GB,2.56,2802,2.1,LTPS-SCREEN,2
15.8,2.39,4,DDR3,1TB,3.45,5101,3.1,IPS,3
14.7,3.09,8,DR2,256GB,4.34,4294,2.1,OLED,4
11.1,1.48,4,DR2,64GB,2.36,2783,6,OLED,5
5.4,0.153,2,DDR3,64GB,2.96,1187,48,OLED,6
14.1,7.99,2,DDR4,128GB,2.93,4289,1.2,LTPS-SCREEN,1
14.3,4.54,4,DDR4,128GB,2.85,2677,1.2,OLED,2
16.0,2.69,8,DDR4,128GB,2.72,2808,1.9,LED,3
13.7,3.69,16,DDR4,512GB,3.78,3934,1.2,LTPS-SCREEN,4
11.6,1.06,8,DDR3,16GB,1.5,3775,13,IPS-LCD,5
4.3,0.138,4,DR2,16GB,2.96,2837,3,LED,6
15.2,6.68,4,DDR4,128GB,3.18,3159,1.9,OLED,1
